
0	5	0
0	10	0
0	15	0
0	20	0
0	25	0
0	30	0
0	35	0
0	40	0
0	45	0
0	50	0
0	55	0
0	60	0
0	65	0
0	70	0
0	75	0
0	80	0
0	85	0
0	90	0
0	95	0
0	100	0
0	105	0
0	110	0
0	115	0
0	120	0
0	125	0
95	0	0
95	5	0
95	10	0
95	15	0
95	20	0
95	25	0
95	30	0
95	35	0
95	40	0
95	45	0
95	50	0
95	55	0
95	60	0
95	65	0
95	70	0
95	75	0
95	80	0
95	85	0
95	90	0
95	95	0
95	100	0
95	105	0
95	110	0
95	115	0
95	120	0
95	125	0
0	0	0
5	0	0
10	0	0
15	0	0
20	0	0
25	0	0
30	0	0
35	0	0
40	0	0
45	0	0
50	0	0
55	0	0
60	0	0
65	0	0
70	0	0
75	0	0
80	0	0
85	0	0
90	0	0
5	125	0
10	125	0
15	125	0
20	125	0
25	125	0
30	125	0
35	125	0
40	125	0
45	125	0
50	125	0
55	125	0
60	125	0
65	125	0
70	125	0
75	125	0
80	125	0
85	125	0
90	125	0
